place,orilat,orilng,reallat,reallng
叙利亞,540,2170,34.80207499999999,38.996815
ISIL,550,2197,41.7883128,-87.6045656
西クルディスタン,535,2200,36.4103395,44.38719529999999
黎巴嫩(法),560,2160,33.854721,35.862285
巴勒斯坦(英),585,2170,31.952162,35.233154
巴勒斯坦(英),600,2150,31.952162,35.233154
外約旦,585,2180,30.585164,36.238414
美索不達米亞(英),540,2230,34.5337527,43.483738
南愛爾蘭,370,1700,53.3329136,-6.2595812
拉脱維亞,325,2030,56.879635,24.603189
立陶宛,345,2030,55.169438,23.881275
愛沙尼亞,310,2050,58.595272,25.0136071
格魯吉亞,465,2215,42.315407,43.35689199999999
亞塞拜然,490,2280,40.143105,47.576927
亞美尼亞,500,2235,40.069099,45.038189
緬甸(英),680,2747,21.916221,95.955974
北朝鮮（蘇）,490,3060,40.339852,127.510093
巴基斯坦,595,2520,30.375321,69.34511599999999
東巴基斯坦,663,2690,30.375321,69.34511599999999
台湾,670,3000,23.9036873,121.0793705
(共産党),540,2950,35.4690614,139.5784111
中華人民共和国,555,2900,35.86166,104.195397
德國（英）,380,1888,51.165691,10.451526
西德,395,1880,44.3161435,-73.9948984
德國,385,1890,51.165691,10.451526
利比亞,620,1940,26.3351,17.228331
托布魯克,634,2010,32.0681759,23.941751
老檛(法),700,2820,19.85627,102.495496
蘇丹(英埃),740,2090,12.862807,30.217636
幾内亞,788,1705,9.945587,-9.696645
加蓬,890,1936,-0.803689,11.609444
尼日爾,720,1890,17.607789,8.081666
乍得,730,1990,15.454166,18.732207
毛利塔尼亞,680,1690,21.00789,-10.940835
中非,830,2000,6.611110999999999,20.939444
象牙海岸,820,1740,7.539988999999999,-5.547079999999999
科特迪瓦,840,1740,7.539988999999999,-5.547079999999999
科特迪瓦,820,1740,7.539988999999999,-5.547079999999999
馬拉威,1020,2135,-13.254308,34.301525
賛比亞,1040,2060,-13.133897,27.849332
巴巴多斯,769,1210,13.193887,-59.543198
新加坡,890,2840,1.352083,103.819836
瑙魯,880,3440,-0.522778,166.931503
圖瓦盧,1020,110,-7.109534999999999,177.64933
馬紹爾群島,800,3540,7.131474,171.184478
瓦努阿圖,1060,3470,-15.376706,166.959158
格陵蘭(丹),180,1380,71.706936,-42.604303
摩爾多瓦,426,2090,47.411631,28.369885
哈薩克,420,2390,48.019573,66.923684
烏茲別克斯坦,470,2420,41.377491,64.585262
土庫曼,505,2370,38.969719,59.556278
吉爾吉斯,473,2540,41.20438,74.766098
塔吉克斯坦,510,2520,38.861034,71.276093
馬其頓,484,2022,41.608635,21.745275
斯洛維尼亞,444,1932,46.151241,14.995463
克羅埃西亞,445,1955,45.1,15.2000001
波斯尼亞和黑塞哥維那,457,1981,43.915886,17.679076
巴勒斯坦,580,2157,31.952162,35.233154
